Description,Type
"internet problem

Hi, internet and intranet are down ? both of us in legal have the same problem, we?re both on DT4 - getting a message to say server unknown:  Description: Unable to locate the server named ""hpbc.alliance-online.org"" --- the server does not have a DNS entry. Perhaps there is a misspelling in the server name, or the server no longer exists. Double-check the name and try again.

Nicola de Bruin
Solicitor,
High Peak Borough Council
Market Place
Buxton, Derbyshire
SK17 6EL
",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Alliance Gateway / CAG - unable to access

",Others
"Outlook Issues. 

",Others
"New Starter 

Needs to login 
Has an account however requires a new password 
Reset password - was able to login - Closing 

",Others
"unable to access via VPN 

Advised of MI Ref 159955 - issue still ongoing. Linked and closing 

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Unable to open Word Document

\\ftal-file1\data2 BiddulphCaretakers\Hall Function Layouts Report\ Layout Presentation Final Draft

",Others
"Netcool event for High Peak DC: [ICT-EXTRANET-1]


Description: [29/1/2018 10:27:44] -  DVC Failed - Pings Complete: Timed out

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Unable to access Remote Working 

Advised of current outage - Linked and closed - 159955

",Others
"Network

",Others
"Network issues

",Others
"No Network Connection 

Users in the office have no connection 
Advised this is linked to 159955 - Linked and Closing 

",Others
"unable to access via VPN 

Advised of MI Ref 159955 - Linked and closing 

",Others
"Unable to access certain servers

Description of Issues: Jo reports that she is unable to connect to any of her servers that she would normally access.

Actions taken to Resolve: Linked to P1 call 159955 - issue due to a power outage at High Peak over the weekend.",Others
"Network Issues

",Others
"Network Issues

",Others
"Unable to access Outlook/Intranet/Internet 

Colleague in the office is having the same issue
When attempting to do so shows ""work offline"" or ""cancel""
Restarts have not resolved 
Jo is able to access the network drives without error 

",Others
"No Outlook or Intranet 

Has restarted twice and gets the same error 
""MS outlook server is unavailable""
Event Shutdown Tracker popping up when booting up (I also had this on logging into the terminal server)
Can access internet without error 

Asset - HPBC3325
Contact -  01538 395400 - 4990 
Location - Moorlands House

",Others
"Netcool event for High Peak DC: [STAL-SNOW]


Description: [29/1/2018 4:51:26] -  System Memory is currently 98% Used

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HPBC-BACKUP-2]


Description: [26/1/2018 21:10:55] -  System Log Error iScsiPrt:Connection to the target was lost. The initiator will attempt to retry the connection. 

Description: [26/1/2018 21:10:55] -  System Log Error iScsiPrt:Target failed to respond in time to a NOP request.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HPCH-OHMSLIVE-3]


Description: [26/1/2018 20:31:37] -  Windows EMS_AGT Heart Beat Failure

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Outlook Issues. 

",Others
"Incorrect password

Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"FW: email

Further to conversation, please could you look into why error messages are popping up when opening some external emails that have embedded images in the signature.

thanks

Lindsay

Lindsay Derbyshire
Transformation Business Partner | OD & Transformation
High Peak Borough Council and Staffordshire Moorlands District Council

T: 01298 28400 ext 5460 or 01538 395400 ext 5460
M: 07976 753223
E: lindsay.derbyshire@highpeak.gov.uk<mailto:lindsay.derbyshire@highpeak.gov.uk>

",Others
"Laptop

Hi

Please could an on site engineer look at our laptop on Monday?

The SMDC Lalpac (which is a programme built onto this laptop) only works with the fob. The High Peak one works fine.

Thanks
Jo


Kind Regards
Joanne Barler
Licensing Officer
High Peak Borough Council & Staffordshire Moorlands District Council
T: 0345 129 7777
E: licensing@highpeak.gov.uk<mailto:licensing@highpeak.gov.uk>
www.highpeak.gov.uk<http://www.highpeak.gov.uk/>
www.staffsmoorlands.gov.uk


",Others
"Remote Access Issue 

Hi

I'm trying to log on from home via https://gateway.highpeak.gov.uk/rdweb however my laptop cannot find this page to start the log in.

Can you send me an alternative link? Im using IE not chrome.

Thanks
Sarah
07904 288 370
",Others
"Unable to access a website

Description of Issues: Laura reports that she is unable to access a website sent to her via email. When trying to access, it is giving Laura a pop up asking if the website is a trusted source.  Laura advised that the website was trusted and she was aware of it.

Actions taken to Resolve: Clicked 'Yes' on the pop up and this then opened the website without issue",Others
"Work mobile phone problem

Hello Northgate Service Desk,

My work mobile phone has completely switched off. It was working a short while ago and had charge in the battery.

Please can you let me know if there is a wider problem with the mobile phones.


Kind Regards,

Jane Cooper
Environmental Health Officer

Tel: 0345 129 7777
Mob: 07814 969 967
E-mail: jane.cooper@highpeak.gov.uk<mailto:jane.cooper@highpeak.gov.uk>

Environmental Health
High Peak Borough Council
Buxton Town",Others
"Error Message - E Hallworth

Error message appeared on my screen this morning, just wondered if this was normal I clicked No and its gone off now

[cid:image001.png@01D3967E.97247170]

Elaine Hallworth
Lead Procurement Officer | Finance & Procurement
High Peak Borough Council & Staffordshire Moorlands District Council
E: elaine.hallworth@highpeak.gov.uk
T: 01538 395 400 ext 4048",Others
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [26/1/2018 5:43:50] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Password reset, customer can now log in, Closing Call.

Customer Verified: Yes.",Lockouts
"Unable to access link

""General failure"" showing when attempting to do so 

We've had several calls with this issue today, is there any work ongoing that would be causing this?
Users are able to copy the same link into IE and can access. 

Contact -  4422
Asset - n/a
Location - Fowlchurch

",Others
"Moorlands House.
Doc Locked

",Others
"Your remote connection has been disconnected

Description of Issues: John is unable to login to ILAP after his session was disconnected. John was connected to DT 4 and when logging back in, was on DT3

Actions taken to Resolve: Reset DT4 session and asked John to reconnect, when connecting to DT3 again, he logged in without issue",Others
"ref 159322

Hi

I have logged off and logged on and now on server 2.  I cannot get on internet sites, the following error occurs:
[cid:image001.png@01D395EE.207AF340]

[cid:image002.png@01D395EE.207AF340]

Karen McCoy
Technical Support officer
High Peak Borough Council
tel 0345 129 8075
EX 6505
E:Karen.mccoy@highpeak.gov.uk




________________________________

",Others
"Unable to access Internet via shortcut 

http://smdc.alliance-online.org/ - 

Can access via IE however using the shortcut (which has worked previously) they get Em""Class not registered

Jayne is working from STAL-RDS-DT-5

Contact - 01538 395522
Location - Fowlchurch

",Others
"Issues connecting to network

",Others
"URGENT - PC Issues

",Others
"Error Message

Hi

When I click on a couple of shortcuts on desk top to external websites I get the following message

[cid:image001.png@01D395DF.E26A9DC0]

If I type in the address manually they work fine. But if I try and create a new shortcut and use this I still get the above message.

Wyse Terminal TML09

Karl Birch
Benefits Officer
Staffordshire Moorlands District Council
and High Peak Borough Council

01538 395400 (ext 5923)

www.staffsmoorlands.gov.uk<http://www.staffs",Others
"MS outlook issue

Connected and re-added the pst files - Closing 

",Others
"Remote Desktop Connection 

Showing a message popup on screen stating the remote connection has now ended
It's as if we've been connected and then disconnected. 
No service desk have been connected to these machines 
While on the telephone colleague Phil Wiggins had the popup appear 
None of the users have open calls with us 
Users are able to work as usual once popup cleared 

Is there any work ongoing that may have caused this?

Tina Keeton
Helen Pakpahan
Phil Wiggins 

Asset - ",Others
"Word Doc Access Issues. 

",Others
"""Your remote desktop session has ended"" 

Showing error when unlocking the screen 
Has been able to continue working as normal once cleared 
SD have not been on the computer, no open calls. 

Is there any work ongoing that may have caused this?

Locaiton - Buxton
Asset -  2154

",Others
"System Issues. 

",Others
"Excel spreadsheet printout

",Others
"Email spam received - wrong telephone number on report

",Others
"Out of office message - can't turn off as no access

I?ve been told that I have an out of office reply on (as screenshot below suggests) and yet I cannot find where this can be removed.

I currently have all my e-mails diverted to cemeteries@highpeak.gov.uk, and don?t have access to terry.redfern@highpeak.gov.uk to change it.

Can you give me access so I can cancel the out of office reply (and archive a few e-mails).

 
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Netcool event for High Peak DC: [SMDC-ILAP-WEB]


Description: [25/1/2018 5:9:45] -  NOTICE: Windows Service Oracle-PORTALProcessManager (Oracle-PORTALProcessManager) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HPBC-ILAP-WEB]


Description: [25/1/2018 5:7:13] -  NOTICE: Windows Service Oracle-PORTALProcessManager (Oracle-PORTALProcessManager) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [25/1/2018 4:54:59] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"OHMS ISSUE

Afternoon,

The below keeps popping up on my OHMS, it seems to happen when I try to print a works order form ? this is the 2nd time is has happened;

[cid:image001.png@01D3952E.EFC47420]

Claire Shrimpton
Technical Support Officer
Tel: 0345 129 8075 ext 6504
Email: claire.shrimpton@highpeak.gov.uk<mailto:claire.shrimpton@highpeak.gov.uk>



________________________________

",Others
"URGENT - FAO OHMS SUPPORT TEAM (forward via Infra pls)

Following upgrade completed by Richard Bott, please can this be looked into urgently.

Reported by Rachel Newsam (Rents) when team were logged in as follows: Andy on DT-2, Rebecca on DT?3 & Rachel on DT-4.

It will only allow 1 user to generate rent statements at a time. If accessing any other address, 2nd user gets message saying 'Data is currently in use by <name of user>.?

If someone is in a statement screen, no other users can ",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Issues for the Chief Executive with intranet log in

Each time the Chief Exec logs into the intranet, it asks for a password and user name.

This did not happen before the migration.

Can someone please take a look?

Thanks in advance,

Alison



Alison Fynney ? Executive Assistant
Chief Executive?s Office
Staffordshire Moorlands District Council ? DD 01538 395654
High Peak Borough Council ? DD 01298 28406
Email : alison.fynney@staffsmoorlands.gov.uk<mailto:alison.fynney@staffs",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Netcool event for High Peak DC: [SMDC-ILAP-APP]


Description: [24/1/2018 5:3:0] -  NOTICE: Windows Service NetTcpActivator (Net.Tcp Listener Adapter) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [24/1/2018 4:57:19] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [23/1/2018 20:58:45] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [ICT-WSUS-1]


Description: [23/1/2018 15:37:28] -  NOTICE: Windows Service WsusService (Update Services) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Desktop screen too small

",Others
"Blocked Email. 

",Others
"staffs moorlands
Moorlands House 

",Lockouts
"No Display on Monitor

",Others
"Blocked Email

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Unable to login 

When attempting to do so gets Em"" security database does not have a computer account""
Restarts have not resolved 
Phil can login elsewhere without error 

Location - Democratic and community services
Contact -  01538 395400 
HPBC - 3145

",Others
"Printer issue - reoccuring

",Others
"Password reset, customer can now log in. Customer Verified: Yes.

Closing Call",Lockouts
"Password reset, customer can now log in

Customer Verified: Yes/No/Email from Manager/NA

Closing Call",Lockouts
"FW: Severn Trent Water User Administration Service: Change properties of User Service, Customer

Please can you investigate this at Leek reception we are not able to view the Seven Trent information

Thanks Carolyn

From: Harper, Suzanne
Sent: 22 January 2018 13:48
To: Customer Service Seniors
Subject: RE: Severn Trent Water User Administration Service: Change properties of User Service, Customer

TRIED IT BUT COMING UP WITH SILVER LITE AGAIN!

From: Customer Service Seniors
Sent: ",Others
"Cllr Howe's tablet

Hi ? mod gov isn?t working properly on Cllr Howe?s tablet.  Tablet says that it cannot communicate with the server.

Thanks. Rachel

Rachel Rourke
Member & Democratic Services Officer
High Peak Borough Council
Tel: 0345 129 7777 ex. 2139
(Hours of work: Mon ? Fri until 3.15 p.m.)


________________________________

",Others
